,GGA static time,GGA bands time,GGA optics time,HSE static time,HSE optics time,HSE bands time,GGA static CO2 use / kg,GGA static energy / kWh,GGA bands CO2 use / kg,GGA bands energy / kWh,GGA optics CO2 use / kg,GGA optics energy / kWh,HSE static CO2 use / kg,HSE static energy / kWh,HSE optics CO2 use / kg,HSE optics energy / kWh,HSE bands CO2 use / kg,HSE bands energy / kWh
GaAs,21.555,98.181,16.543,545.494,702.546,643.675,0.0005,0.0022,0.0024,0.0101,0.0004,0.0017,0.0133,0.0561,0.0172,0.0722,0.0157,0.0662
InP,12.566,5.735,7.056,231.889,213.787,237.624,0.0003,0.0013,0.0001,0.0006,0.0002,0.0007,0.0057,0.0238,0.0052,0.022,0.0058,0.0244
CdTe,13.908,6.577,7.789,252.441,190.582,259.018,0.0003,0.0014,0.0002,0.0007,0.0002,0.0008,0.0062,0.026,0.0047,0.0196,0.0063,0.0266
MAPbI3,121.952,130.802,198.756,596.506,505.214,727.308,0.003,0.0125,0.0032,0.0135,0.0049,0.0204,0.0146,0.0613,0.0123,0.052,0.0178,0.0748
GaCuSe2,29.675,20.594,35.82,749.109,635.948,769.703,0.0007,0.0031,0.0005,0.0021,0.0009,0.0037,0.0183,0.077,0.0155,0.0654,0.0188,0.0791
InCuSe2,33.098,26.208,41.523,786.352,624.712,812.56,0.0008,0.0034,0.0006,0.0027,0.001,0.0043,0.0192,0.0809,0.0153,0.0642,0.0199,0.0836
ZnCu2SnS4,32.064,24.935,50.326,4583.033,3878.417,4607.968,0.0008,0.0033,0.0006,0.0026,0.0012,0.0052,0.112,0.4713,0.0948,0.3988,0.1126,0.4738
CuSbS2,49.224,43.89,105.457,5219.081,2842.61,5262.971,0.0012,0.0051,0.0011,0.0045,0.0026,0.0108,0.1275,0.5367,0.0694,0.2923,0.1286,0.5412
Sb2S3,78.297,42.645,85.909,14583.39,12362.016,14626.035,0.0019,0.0081,0.001,0.0044,0.0021,0.0088,0.3563,1.4996,0.302,1.2712,0.3573,1.504
Cu2O,13.429,7.06,13.238,378.456,212.456,385.516,0.0003,0.0014,0.0002,0.0007,0.0003,0.0014,0.0092,0.0389,0.0052,0.0218,0.0094,0.0396
SnS,36.981,27.329,59.427,1935.761,1439.235,1963.09,0.0009,0.0038,0.0007,0.0028,0.0015,0.0061,0.0473,0.1991,0.0352,0.148,0.048,0.2019
Sb2Se3,86.269,44.308,89.532,3051.384,2637.996,3095.692,0.0021,0.0089,0.0011,0.0046,0.0022,0.0092,0.0745,0.3138,0.0644,0.2713,0.0756,0.3183
Si,8.323,4.938,5.556,189.814,173.962,194.752,0.0002,0.0009,0.0001,0.0005,0.0001,0.0006,0.0046,0.0195,0.0043,0.0179,0.0048,0.02
